MSG_TYPE,NODE_1,NODE_2,SEQTS,HLC,BITMAP,OFFSETS,COUNTERS,NUM_PROCS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,OFFSET_SIZE,COUNTER_SIZE,CLOCK_SIZE,MAX_OFFSET
SEND,10.1.1.1,10.1.1.4,0,94,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,14,0
SEND,10.1.1.2,10.1.1.4,0,77,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,14,0
SEND,10.1.1.3,10.1.1.4,0,95,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,14,0
SEND,10.1.1.4,10.1.1.1,0,83,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,14,0
SEND,10.1.1.5,10.1.1.3,0,69,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,14,0
RECV,10.1.1.4,10.1.1.2,0,93,01010,0000000000000000000000000000000000000000000000000000000000010000,0,5,100,50,200,20,7,14,0,21,16
RECV,10.1.1.4,10.1.1.1,0,94,01011,0000000000000000000000000000000000000000000000000000100010000000,0,5,100,50,200,20,7,21,0,28,17
RECV,10.1.1.3,10.1.1.5,0,96,10100,0000000000000000000000000000000000000000000000000000110110000000,0,5,100,50,200,20,7,14,0,21,27
RECV,10.1.1.4,10.1.1.3,0,97,01111,0000000000000000000000000000000000000000000000001000101000000011,0,5,100,50,200,20,7,28,0,35,20
RECV,10.1.1.1,10.1.1.4,0,100,01001,0000000000000000000000000000000000000000000000000000100010000000,0,5,100,50,200,20,7,14,0,21,17
SEND,10.1.1.1,10.1.1.5,1,258,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,16,0
SEND,10.1.1.2,10.1.1.5,1,185,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,15,0
SEND,10.1.1.3,10.1.1.2,1,278,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,16,0
SEND,10.1.1.4,10.1.1.1,1,136,01111,0000000000000000000000000000000000000000000010100101110110101010,0,5,100,50,200,20,7,28,0,36,59
SEND,10.1.1.5,10.1.1.1,1,142,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,15,0
RECV,10.1.1.1,10.1.1.4,1,410,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,16,0
RECV,10.1.1.1,10.1.1.5,1,411,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,16,0
RECV,10.1.1.5,10.1.1.2,1,201,10010,0000000000000000000000000000000000000000000000000000000000010000,0,5,100,50,200,20,7,14,0,22,16
RECV,10.1.1.5,10.1.1.1,1,339,10001,0000000000000000000000000000000000000000000000000000000001010001,0,5,100,50,200,20,7,14,0,23,81
