MSG_TYPE,NODE_1,NODE_2,SEQTS,HLC,BITMAP,OFFSETS,COUNTERS,NUM_PROCS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,OFFSET_SIZE,COUNTER_SIZE,CLOCK_SIZE,MAX_OFFSET
SEND,10.1.1.1,10.1.1.4,8,2563,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.2,10.1.1.1,8,2430,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.3,10.1.1.4,8,2288,01100,0000000000000000000000000000000000000000000000000000000000000000,2,5,100,50,200,20,7,14,2,28,0
SEND,10.1.1.4,10.1.1.2,8,2455,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.5,10.1.1.1,8,2510,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.4,10.1.1.1,8,2621,01001,0000000000000000000000000000000000000000000000000000000000111010,0,5,100,50,200,20,7,14,0,26,58
RECV,10.1.1.4,10.1.1.3,8,2648,01001,0000000000000000000000000000000000000000000000000000000001010101,0,5,100,50,200,20,7,14,0,26,85
RECV,10.1.1.1,10.1.1.5,8,2614,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.1,10.1.1.2,8,2616,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.2,10.1.1.4,8,2621,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.1,10.1.1.2,9,2645,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.2,10.1.1.1,9,2694,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.3,10.1.1.4,9,2288,01100,0000000000000000000000000000000000000000000000000000000000000000,3,5,100,50,200,20,7,14,2,28,0
SEND,10.1.1.4,10.1.1.1,9,2683,01000,0000000000000000000000000000000000000000000000000001000110000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.5,10.1.1.4,9,2793,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.2,10.1.1.1,9,2925,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.1,10.1.1.4,9,2747,01001,0000000000000000000000000000000000000000000000000000000001000000,0,5,100,50,200,20,7,14,0,26,64
RECV,10.1.1.1,10.1.1.2,9,2859,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.4,10.1.1.3,9,2947,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.4,10.1.1.5,9,2975,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.1,10.1.1.3,10,3207,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.2,10.1.1.5,10,3258,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.3,10.1.1.2,10,2895,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.4,10.1.1.5,10,3125,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.5,10.1.1.4,10,3051,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.2,10.1.1.3,10,3294,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.5,10.1.1.4,10,3280,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.3,10.1.1.1,10,3207,00101,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,27,0
RECV,10.1.1.5,10.1.1.2,10,3296,10010,0000000000000000000000000000000000000000000000000000000000100110,0,5,100,50,200,20,7,14,0,26,38
RECV,10.1.1.4,10.1.1.5,10,3178,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.1,10.1.1.2,11,3236,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.2,10.1.1.4,11,3391,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.3,10.1.1.5,11,3207,00101,0000000000000000000000000000000000000000000000000000000000000000,2,5,100,50,200,20,7,14,2,28,0
SEND,10.1.1.4,10.1.1.1,11,3309,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.5,10.1.1.1,11,3410,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.2,10.1.1.1,11,3559,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.5,10.1.1.3,11,3577,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.1,10.1.1.5,11,3410,10001,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,27,0
RECV,10.1.1.1,10.1.1.4,11,3410,10001,0000000000000000000000000000000000000000000000000000000000000000,2,5,100,50,200,20,7,14,2,28,0
RECV,10.1.1.4,10.1.1.2,11,3602,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.1,10.1.1.3,12,3450,10001,0000000000000000000000000000000000000000000000000001010000000000,0,5,100,50,200,20,7,14,0,26,40
SEND,10.1.1.2,10.1.1.5,12,3915,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.3,10.1.1.5,12,3413,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.4,10.1.1.3,12,3735,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.5,10.1.1.2,12,3598,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.3,10.1.1.1,12,3672,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.5,10.1.1.2,12,3915,10010,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,27,0
RECV,10.1.1.5,10.1.1.3,12,3915,10010,0000000000000000000000000000000000000000000000000000000000000000,2,5,100,50,200,20,7,14,2,28,0
RECV,10.1.1.2,10.1.1.5,12,3926,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
