charlie SEND {'alice': 5, 'bob': 5, 'charlie': 25, 'delta': 5, 'echo': 5} 
alice SEND {'alice': 29, 'bob': 9, 'charlie': 9, 'delta': 9, 'echo': 9} 
charlie RECV {'alice': 33, 'bob': 13, 'charlie': 31, 'delta': 13, 'echo': 13} 
bob SEND {'alice': 17, 'bob': 17, 'charlie': 17, 'delta': 17, 'echo': 17} 
alice RECV {'alice': 38, 'bob': 18, 'charlie': 18, 'delta': 18, 'echo': 18} 
delta SEND {'alice': 19, 'bob': 19, 'charlie': 19, 'delta': 39, 'echo': 19} 
echo SEND {'alice': 19, 'bob': 19, 'charlie': 19, 'delta': 19, 'echo': 39} 
delta RECV {'alice': 20, 'bob': 20, 'charlie': 39, 'delta': 33, 'echo': 20} 
echo RECV {'alice': 20, 'bob': 20, 'charlie': 20, 'delta': 39, 'echo': 40} 
alice RECV {'alice': 40, 'bob': 20, 'charlie': 20, 'delta': 20, 'echo': -24} 
bob SEND {'alice': 33, 'bob': 53, 'charlie': 33, 'delta': 33, 'echo': 33} 
delta SEND {'alice': 50, 'bob': 50, 'charlie': 50, 'delta': 70, 'echo': 50} 
charlie SEND {'alice': 51, 'bob': 51, 'charlie': 71, 'delta': 51, 'echo': 51} 
alice SEND {'alice': 75, 'bob': 55, 'charlie': 55, 'delta': 55, 'echo': 55} 
echo SEND {'alice': 64, 'bob': 64, 'charlie': 64, 'delta': 64, 'echo': 84} 
alice RECV {'alice': 84, 'bob': 64, 'charlie': 64, 'delta': 64, 'echo': 84} 
alice RECV {'alice': 87, 'bob': 67, 'charlie': 67, 'delta': 23, 'echo': 15} 
delta RECV {'alice': 67, 'bob': 67, 'charlie': 67, 'delta': 87, 'echo': 67} 
bob RECV {'alice': 68, 'bob': 87, 'charlie': 80, 'delta': 68, 'echo': 68} 
echo RECV {'alice': 89, 'bob': 70, 'charlie': 70, 'delta': 70, 'echo': 83} 
alice SEND {'alice': 90, 'bob': 70, 'charlie': 70, 'delta': 70, 'echo': 90} 
delta SEND {'alice': 72, 'bob': 72, 'charlie': 72, 'delta': 92, 'echo': 72} 
alice RECV {'alice': 99, 'bob': 79, 'charlie': 79, 'delta': 35, 'echo': 32} 
delta RECV {'alice': 106, 'bob': 86, 'charlie': 86, 'delta': 98, 'echo': 106} 
echo SEND {'alice': 107, 'bob': 107, 'charlie': 107, 'delta': 107, 'echo': 127} 
delta RECV {'alice': 107, 'bob': 107, 'charlie': 107, 'delta': 127, 'echo': 127} 
echo SEND {'alice': 117, 'bob': 117, 'charlie': 117, 'delta': 117, 'echo': 137} 
echo SEND {'alice': 121, 'bob': 121, 'charlie': 121, 'delta': 121, 'echo': 141} 
charlie SEND {'alice': 121, 'bob': 121, 'charlie': 141, 'delta': 121, 'echo': 121} 
bob SEND {'alice': 123, 'bob': 143, 'charlie': 123, 'delta': 123, 'echo': 123} 
charlie RECV {'alice': 124, 'bob': 143, 'charlie': 144, 'delta': 124, 'echo': 124} 
bob RECV {'alice': 124, 'bob': 144, 'charlie': 80, 'delta': 124, 'echo': 124} 
charlie SEND {'alice': 135, 'bob': 155, 'charlie': 149, 'delta': 135, 'echo': 135} 
delta SEND {'alice': 140, 'bob': 140, 'charlie': 140, 'delta': 160, 'echo': 140} 
alice SEND {'alice': 164, 'bob': 144, 'charlie': 144, 'delta': 144, 'echo': 144} 
bob SEND {'alice': 148, 'bob': 168, 'charlie': 148, 'delta': 148, 'echo': 148} 
bob RECV {'alice': 156, 'bob': 176, 'charlie': 156, 'delta': 156, 'echo': 156} 
delta RECV {'alice': 174, 'bob': 174, 'charlie': 174, 'delta': 194, 'echo': 174} 
bob RECV {'alice': 176, 'bob': 196, 'charlie': 176, 'delta': 176, 'echo': 176} 
delta RECV {'alice': 176, 'bob': 176, 'charlie': 176, 'delta': 196, 'echo': 176} 
charlie RECV {'alice': 177, 'bob': 177, 'charlie': 197, 'delta': 177, 'echo': 177} 
alice SEND {'alice': 207, 'bob': 187, 'charlie': 187, 'delta': 187, 'echo': 187} 
echo RECV {'alice': 207, 'bob': 187, 'charlie': 187, 'delta': 187, 'echo': 207} 
delta SEND {'alice': 198, 'bob': 198, 'charlie': 198, 'delta': 218, 'echo': 198} 
bob SEND {'alice': 221, 'bob': 241, 'charlie': 221, 'delta': 221, 'echo': 221} 
delta RECV {'alice': 221, 'bob': 241, 'charlie': 221, 'delta': 241, 'echo': 221} 
charlie SEND {'alice': 229, 'bob': 229, 'charlie': 249, 'delta': 229, 'echo': 229} 
charlie RECV {'alice': 231, 'bob': 231, 'charlie': 251, 'delta': 231, 'echo': 231} 
bob RECV {'alice': 232, 'bob': 252, 'charlie': 188, 'delta': 232, 'echo': 232} 
